IP,ORIGIN,CERT_DOMAIN,CERT_ISSUER,GEO_CODE
47.79.87.173,47.79.87.173,*.kagoya.net,"DigiCert Inc",N/A
47.79.87.171,47.79.87.171,Common Name,"Organization",N/A
47.79.87.158,47.79.87.158,dl.yangjichang.com,"Let's Encrypt",N/A
47.79.87.157,47.79.87.157,tuanss.men,"Let's Encrypt",N/A
47.79.87.155,47.79.87.155,CDN.Server,CDN.Data.Center,"CDN Data Center",N/A
47.79.87.153,47.79.87.153,localhost,"FIT2CLOUD",N/A
47.79.89.33,47.79.89.33,www.fastly.com,"Certainly",N/A
47.79.89.27,47.79.89.27,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.87.144,47.79.87.144,rollerx.xyz,"Let's Encrypt",N/A
47.79.87.142,47.79.87.142,asmr.wduanni.cc,"Let's Encrypt",N/A
47.79.87.120,47.79.87.120,le.su7.uk,"Let's Encrypt",N/A
47.79.87.149,47.79.87.149,yahoo.com,"DigiCert Inc",N/A
47.79.87.248,47.79.87.248,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.87.226,47.79.87.226,u.hyfl.vip,"Let's Encrypt",N/A
47.79.87.103,47.79.87.103,yubanmei.com,"Let's Encrypt",N/A
47.79.87.100,47.79.87.100,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.87.184,47.79.87.184,dnsad.zzf.me,"Let's Encrypt",N/A
47.79.87.246,47.79.87.246,free2.0xcoder.net,"TrustAsia Technologies, Inc.",N/A
47.79.87.177,47.79.87.177,*.node2.easyipx.online,"Let's Encrypt",N/A
47.79.87.106,47.79.87.106,yahoo.com,"DigiCert Inc",N/A
47.79.87.78,47.79.87.78,Common Name,"Organization",N/A
47.79.87.83,47.79.87.83,*.tbcdn.cn,"GlobalSign nv-sa",N/A
47.79.87.57,47.79.87.57,godyui.xyz,"Let's Encrypt",N/A
47.79.87.84,47.79.87.84,cn.karuizawa-hds.com,"Let's Encrypt",N/A
47.79.87.129,47.79.87.129,beichen.ishangit.asia,"Let's Encrypt",N/A
47.79.87.130,47.79.87.130,Lucky,"lucky666CN",N/A
47.79.87.127,47.79.87.127,cloud.huguadao.com,"Let's Encrypt",N/A
47.79.87.76,47.79.87.76,yahoo.com,"DigiCert Inc",N/A
47.79.87.43,47.79.87.43,jp.xui.cneoo.com,"Let's Encrypt",N/A
47.79.87.30,47.79.87.30,Common Name,"Organization",N/A
47.79.87.29,47.79.87.29,localhost,"FIT2CLOUD",N/A
47.79.87.22,47.79.87.22,jp.880508.xyz,"Let's Encrypt",N/A
47.79.87.107,47.79.87.107,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.87.10,47.79.87.10,*.tihus.com,"Let's Encrypt",N/A
47.79.87.8,47.79.87.8,localhost,"FIT2CLOUD",N/A
47.79.87.4,47.79.87.4,tc.meimo.xyz,"Let's Encrypt",N/A
47.79.86.253,47.79.86.253,clawjp2.615678.xyz,"Let's Encrypt",N/A
47.79.86.251,47.79.86.251,*.kipjay.org,"Let's Encrypt",N/A
47.79.86.246,47.79.86.246,images.apple.com,"Apple Inc.",N/A
47.79.86.207,47.79.86.207,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.86.195,47.79.86.195,bs.iosok.top,"Let's Encrypt",N/A
47.79.86.191,47.79.86.191,clawjp1.615678.xyz,"Let's Encrypt",N/A
47.79.86.183,47.79.86.183,jp.nanjinyi.com,"Let's Encrypt",N/A
47.79.86.168,47.79.86.168,jp.911911911.xyz,"Let's Encrypt",N/A
47.79.86.147,47.79.86.147,jp.x.689986521.xyz,"Let's Encrypt",N/A
47.79.86.138,47.79.86.138,xu.nowiz.cyou,"Let's Encrypt",N/A
47.79.86.128,47.79.86.128,799798.xyz,"Let's Encrypt",N/A
47.79.86.126,47.79.86.126,Common Name,"Organization",N/A
47.79.86.127,47.79.86.127,alist.ffssaa7.top,"Let's Encrypt",N/A
47.79.86.117,47.79.86.117,*.alicdn.com,"GlobalSign nv-sa",N/A
47.79.86.110,47.79.86.110,ty.yuevthins.com,"Let's Encrypt",N/A
47.79.86.100,47.79.86.100,distro.177711.xyz,"Let's Encrypt",N/A
47.79.86.242,47.79.86.242,*.lanxinyuan.top,"Let's Encrypt",N/A
47.79.86.78,47.79.86.78,www.example.com,"Dis",N/A
47.79.86.188,47.79.86.188,Lucky,"lucky666CN",N/A
47.79.86.227,47.79.86.227,yahoo.com,"DigiCert Inc",N/A
47.79.86.35,47.79.86.35,fl.trifuture.tech,"Let's Encrypt",N/A
47.79.86.135,47.79.86.135,51wiki.uk,"Let's Encrypt",N/A
47.79.86.18,47.79.86.18,jp5.netlib.online,"Let's Encrypt",N/A
47.79.86.21,47.79.86.21,www.111383.xyz,"Let's Encrypt",N/A
47.79.86.111,47.79.86.111,234.cldzb.dpdns.org,"Buypass AS-983163327",N/A
47.79.86.17,47.79.86.17,hoshibu.com,"ZeroSSL",N/A
47.79.86.107,47.79.86.107,Common Name,"Organization",N/A
47.79.86.15,47.79.86.15,*.apples.news,"Let's Encrypt",N/A
47.79.86.14,47.79.86.14,godyui.xyz,"Let's Encrypt",N/A
47.79.86.95,47.79.86.95,loli.coffee,"Let's Encrypt",N/A
47.79.86.4,47.79.86.4,jp-claw.520312.best,"Let's Encrypt",N/A
47.79.86.3,47.79.86.3,ccjp.jjt123.xyz,"TrustAsia Technologies, Inc.",N/A
47.79.86.12,47.79.86.12,yahoo.com,"DigiCert Inc",N/A
47.79.85.246,47.79.85.246,images.apple.com,"Apple Inc.",N/A
47.79.85.249,47.79.85.249,www.amazon.com,"DigiCert Inc",N/A
47.79.86.76,47.79.86.76,2cyfd158.43992026.xyz,"ZeroSSL",N/A
47.79.85.239,47.79.85.239,jp.pinwei.xyz,"Let's Encrypt",N/A
47.79.85.237,47.79.85.237,x4us.unwall.in,"Let's Encrypt",N/A
47.79.86.44,47.79.86.44,coin.zimuquan.uk,"Let's Encrypt",N/A
47.79.85.208,47.79.85.208,j.sni-644-default.ssl.fastly.net,"GlobalSign nv-sa",N/A
47.79.85.204,47.79.85.204,*.ipa.lat,"Let's Encrypt",N/A
47.79.85.193,47.79.85.193,wssp.eu.org,"Let's Encrypt",N/A
47.79.85.182,47.79.85.182,ikwiigw.click,"Let's Encrypt",N/A
47.79.85.184,47.79.85.184,*.lkqjklfv.top,"Let's Encrypt",N/A
47.79.85.177,47.79.85.177,localhost,"FIT2CLOUD",N/A
47.79.85.166,47.79.85.166,dns.neurosana.xyz,"Let's Encrypt",N/A
47.79.86.36,47.79.86.36,*.20200207.xyz,"Let's Encrypt",N/A
47.79.85.158,47.79.85.158,localhost,"FIT2CLOUD",N/A
47.79.85.156,47.79.85.156,japan1.mmoffice.top,"Let's Encrypt",N/A
47.79.85.121,47.79.85.121,host.halo.cx,"Let's Encrypt",N/A
47.79.85.96,47.79.85.96,Common Name,"Organization",N/A
47.79.85.94,47.79.85.94,Common Name,"Organization",N/A
47.79.86.226,47.79.86.226,jp2.xmu.pp.ua,"Let's Encrypt",N/A
47.79.85.64,47.79.85.64,awsvideo.gweb.eu.org,"Let's Encrypt",N/A
47.79.85.58,47.79.85.58,jpaliyun01.zerosecurity.pw,"Let's Encrypt",N/A
47.79.86.210,47.79.86.210,user.mooncdn.top,"Let's Encrypt",N/A
47.79.86.201,47.79.86.201,claw.lovetecnet.xyz,"Let's Encrypt",N/A
47.79.86.199,47.79.86.199,*.nullencursor.lol,"Let's Encrypt",N/A
47.79.85.50,47.79.85.50,edge01.yahoo.co.jp,"Cybertrust Japan Co., Ltd.",N/A
47.79.85.37,47.79.85.37,jpst.9xdzof.tech,"Let's Encrypt",N/A
47.79.85.4,47.79.85.4,localhost,"FIT2CLOUD",N/A
47.79.85.2,47.79.85.2,localhost,"FIT2CLOUD",N/A
47.79.84.247,47.79.84.247,eb.133322.xyz,"Let's Encrypt",N/A
47.79.85.89,47.79.85.89,cl.1215719.xyz,"Let's Encrypt",N/A
47.79.84.236,47.79.84.236,t.sni-820-default.ssl.fastly.net,"Certainly",N/A
47.79.85.79,47.79.85.79,alewblog.top,"Let's Encrypt",N/A
47.79.85.68,47.79.85.68,claw-3xui.2202020.xyz,"Let's Encrypt",N/A
47.79.84.216,47.79.84.216,alist.secduck.cn,"Let's Encrypt",N/A
47.79.84.242,47.79.84.242,yahoo.com,"DigiCert Inc",N/A
47.79.84.204,47.79.84.204,Common Name,"Organization",N/A
47.79.85.33,47.79.85.33,*.tjq.one,"Google Trust Services",N/A
47.79.84.199,47.79.84.199,n.sni-347-default.ssl.fastly.net,"GlobalSign nv-sa",N/A
47.79.84.196,47.79.84.196,cwjp1.ghpw.space,"ZeroSSL",N/A
47.79.84.193,47.79.84.193,mycloud.233450.xyz,"ZeroSSL",N/A
47.79.84.173,47.79.84.173,xui.852340.xyz,"Let's Encrypt",N/A
47.79.84.165,47.79.84.165,acwiki.guanglai.me,"Let's Encrypt",N/A
47.79.84.166,47.79.84.166,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.84.140,47.79.84.140,ai.netgoldstar.com,"Let's Encrypt",N/A
47.79.84.126,47.79.84.126,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.84.115,47.79.84.115,ai.joyuarskmatejo.cfd,"Let's Encrypt",N/A
47.79.84.100,47.79.84.100,free.zimuquan1.top,"Let's Encrypt",N/A
47.79.84.91,47.79.84.91,n.sni-347-default.ssl.fastly.net,"GlobalSign nv-sa",N/A
47.79.84.88,47.79.84.88,www.cdn77.com,"Let's Encrypt",N/A
47.79.84.82,47.79.84.82,jp.ddaodan.cc,"Let's Encrypt",N/A
47.79.84.221,47.79.84.221,www.cloudflare.com,"Google Trust Services",N/A
47.79.84.26,47.79.84.26,localhost,"FIT2CLOUD",N/A
47.79.84.27,47.79.84.27,databricks.co.jp,"Let's Encrypt",N/A
47.79.85.168,47.79.85.168,trade.googler.win,"Let's Encrypt",N/A
47.79.85.140,47.79.85.140,www.cloudflare.com,"Google Trust Services",N/A
47.79.85.77,47.79.85.77,c1.ibctech.top,"Let's Encrypt",N/A
47.79.85.78,47.79.85.78,localhost,"FIT2CLOUD",N/A
47.79.84.117,47.79.84.117,yahoo.com,"DigiCert Inc",N/A
47.79.84.49,47.79.84.49,copilot.supercopilot.top,"ZeroSSL",N/A
47.79.84.7,47.79.84.7,reroute443.microsoft.com,"Microsoft Corporation",N/A
47.79.84.103,47.79.84.103,*.starbucks.co.jp,"GlobalSign nv-sa",N/A
47.79.84.51,47.79.84.51,www.xtools.fun,"Let's Encrypt",N/A
47.79.79.217,47.79.79.217,huanxx.cn,"Let's Encrypt",N/A
47.79.79.173,47.79.79.173,xiong6.nbiggerhead.com,"Let's Encrypt",N/A
47.79.79.245,47.79.79.245,www.szstmall.cn,"Let's Encrypt",N/A
47.79.79.241,47.79.79.241,shop.kolian.love,"Let's Encrypt",N/A
47.79.79.153,47.79.79.153,www.yiyanpcb.com,"DigiCert Inc",N/A
47.79.79.149,47.79.79.149,xjx999.cn,"Let's Encrypt",N/A
47.79.79.116,47.79.79.116,taozz.work,"Let's Encrypt",N/A
47.79.79.84,47.79.79.84,ws-safews.com,"Let's Encrypt",N/A
47.79.79.42,47.79.79.42,4umart-shopping.com,"Let's Encrypt",N/A
47.79.79.29,47.79.79.29,blog.ldkya22.cn,"Let's Encrypt",N/A
47.79.79.23,47.79.79.23,www.from0to1.cn,"Let's Encrypt",N/A
47.79.78.252,47.79.78.252,guanjiekjsz.com,"Let's Encrypt",N/A
47.79.78.249,47.79.78.249,jcw6.cn.xqd.cn,"Let's Encrypt",N/A
47.79.78.240,47.79.78.240,*.intergolden.hk,"TrustAsia Technologies, Inc.",N/A
47.79.78.223,47.79.78.223,admin.artim.vip,"Let's Encrypt",N/A
47.79.78.210,47.79.78.210,ws-flowers.com,"Let's Encrypt",N/A
47.79.78.198,47.79.78.198,xiaomifeng999.com,"Let's Encrypt",N/A
47.79.78.196,47.79.78.196,test.bonsai-bci.com,"Let's Encrypt",N/A
47.79.78.185,47.79.78.185,jiaoan.xiaomippt.com,"Let's Encrypt",N/A
47.79.78.134,47.79.78.134,www.springyl.com,"DigiCert Inc",N/A
47.79.78.118,47.79.78.118,git.6tb0pjcbs.intnax.com,"Let's Encrypt",N/A
47.79.78.101,47.79.78.101,gtwsns.com,"Let's Encrypt",N/A
47.79.78.66,47.79.78.66,survey.nexaversesurvey.com,"Let's Encrypt",N/A
47.79.78.64,47.79.78.64,artsion.art,"Let's Encrypt",N/A
47.79.78.57,47.79.78.57,zachauto.com,"DigiCert Inc",N/A
47.79.78.51,47.79.78.51,julytian.top,"Let's Encrypt",N/A
47.79.78.43,47.79.78.43,neotamarix.com,"DigiCert Inc",N/A
47.79.78.4,47.79.78.4,www.gdsteel.com,"DigiCert Inc",N/A
47.79.77.230,47.79.77.230,node.baobaoyun.cc,"Let's Encrypt",N/A
47.79.77.200,47.79.77.200,Cloudflare,"Cloudflare, Inc.",N/A
47.79.77.171,47.79.77.171,ahwbthpack.com,"DigiCert Inc",N/A
47.79.77.125,47.79.77.125,vietphonecenter.com,"Let's Encrypt",N/A
47.79.77.67,47.79.77.67,rcaptical.com,"Let's Encrypt",N/A
47.79.77.43,47.79.77.43,wovapharm.com,"TrustAsia Technologies, Inc.",N/A
47.79.77.27,47.79.77.27,www.998689.com,"Let's Encrypt",N/A
47.79.77.14,47.79.77.14,wodewangduoyu.top,"Let's Encrypt",N/A
47.79.77.7,47.79.77.7,fenghuitextile.com,"Let's Encrypt",N/A
47.79.76.255,47.79.76.255,saosao555.cn,"Let's Encrypt",N/A
47.79.76.224,47.79.76.224,www.slds88.top,"Let's Encrypt",N/A
47.79.76.221,47.79.76.221,www.safe4uimportinc.com,"Let's Encrypt",N/A
47.79.76.214,47.79.76.214,mnxdisplay.com,"Let's Encrypt",N/A
47.79.76.206,47.79.76.206,www.minjcode.cn,"Let's Encrypt",N/A
47.79.76.204,47.79.76.204,ws-blue.com,"Let's Encrypt",N/A
47.79.76.187,47.79.76.187,www.howay-lawnmower.com,"DigiCert Inc",N/A
47.79.76.175,47.79.76.175,vtwo.subscription.men,"Let's Encrypt",N/A
47.79.76.173,47.79.76.173,natgovod.com,"DigiCert Inc",N/A
47.79.76.159,47.79.76.159,shengshikw.cn,"Let's Encrypt",N/A
47.79.76.154,47.79.76.154,aexaex.com,"Let's Encrypt",N/A
47.79.76.114,47.79.76.114,shengeryouling.com,"DigiCert Inc",N/A
47.79.76.80,47.79.76.80,Cloudflare,"Cloudflare, Inc.",N/A
47.79.76.44,47.79.76.44,admin.exodbt.top,"Let's Encrypt",N/A
47.79.76.15,47.79.76.15,api.t15x.cn,"Let's Encrypt",N/A
47.79.224.67,47.79.224.67,drhongbs.com,"Let's Encrypt",N/A
47.79.224.115,47.79.224.115,nraou.com,"Let's Encrypt",N/A
47.79.224.124,47.79.224.124,r2.bigfei.me,"ZeroSSL",N/A
47.79.224.184,47.79.224.184,www.sycedu.com,"Let's Encrypt",N/A
47.79.224.197,47.79.224.197,rt-thread.io,"ZeroSSL",N/A
47.79.224.143,47.79.224.143,yinhao.xyz,"Let's Encrypt",N/A
47.79.224.198,47.79.224.198,download.myxtld.info,"Let's Encrypt",N/A
47.79.225.69,47.79.225.69,about.mewmev.com,"Let's Encrypt",N/A
47.79.225.76,47.79.225.76,gemiapp.com,"ZeroSSL",N/A
47.79.225.114,47.79.225.114,cwsg.ghpw.space,"ZeroSSL",N/A
47.79.225.43,47.79.225.43,virtussurvey.com,"Let's Encrypt",N/A
47.79.225.176,47.79.225.176,localhost,"FIT2CLOUD",N/A
47.79.224.79,47.79.224.79,localhost,"FIT2CLOUD",N/A
47.79.225.93,47.79.225.93,unitechemi.com,"GlobalSign nv-sa",N/A
47.79.225.245,47.79.225.245,www.winwinshutter.com,"DigiCert Inc",N/A
47.79.226.31,47.79.226.31,eua.inc,"Inc",N/A
47.79.226.79,47.79.226.79,chinagiftfactory.com,"Let's Encrypt",N/A
47.79.224.221,47.79.224.221,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.226.121,47.79.226.121,arenagame.lol,"Let's Encrypt",N/A
47.79.225.218,47.79.225.218,sggpromo.com,"Let's Encrypt",N/A
47.79.226.127,47.79.226.127,julytian.cn,"Let's Encrypt",N/A
47.79.226.26,47.79.226.26,hengyueoriental.com,"Let's Encrypt",N/A
47.79.227.5,47.79.227.5,premiumsex.shop,"Let's Encrypt",N/A
47.79.226.194,47.79.226.194,*.mgnk8p.mobi,"Let's Encrypt",N/A
47.79.227.67,47.79.227.67,crimsonindustrial.com,"DigiCert Inc",N/A
47.79.226.239,47.79.226.239,www.opecmachinery.com,"Let's Encrypt",N/A
47.79.227.72,47.79.227.72,ektmalls.com,"Let's Encrypt",N/A
47.79.227.74,47.79.227.74,*.driveduo.my.id,"Let's Encrypt",N/A
47.79.227.79,47.79.227.79,mage.rapidredrabbit.com,"DigiCert Inc",N/A
47.79.227.89,47.79.227.89,CloudFlare Origin Certificate,"CloudFlare, Inc.",N/A
47.79.227.108,47.79.227.108,docker.franklinworksite.top,"Let's Encrypt",N/A
47.79.226.10,47.79.226.10,redsunindoorgames.com,"WoTrus CA Limited",N/A
47.79.226.25,47.79.226.25,huacable.com,"Let's Encrypt",N/A
47.79.226.38,47.79.226.38,www.beplanets.com,"DigiCert Inc",N/A
47.79.227.131,47.79.227.131,api.tiktokglobalmall-inc.shop,"Let's Encrypt",N/A
47.79.227.135,47.79.227.135,fourwheelev.com,"Let's Encrypt",N/A
47.79.227.145,47.79.227.145,bbs.znwp.site,"Let's Encrypt",N/A
47.79.226.91,47.79.226.91,www.senswellco.com,"DigiCert Inc",N/A
47.79.226.112,47.79.226.112,p7dy.com,"Let's Encrypt",N/A
47.79.227.159,47.79.227.159,cloud.haidienergy.com,"Let's Encrypt",N/A
47.79.227.170,47.79.227.170,localhost,"FIT2CLOUD",N/A
47.79.226.223,47.79.226.223,2349fgk.com,"Let's Encrypt",N/A
47.79.228.81,47.79.228.81,ws-italy.com,"Let's Encrypt",N/A
47.79.228.178,47.79.228.178,localhost,"FIT2CLOUD",N/A
47.79.228.183,47.79.228.183,sggsms.com,"Let's Encrypt",N/A
47.79.228.213,47.79.228.213,www.example.com,"Example Inc.",N/A
47.79.229.5,47.79.229.5,www.travabox.com,"Let's Encrypt",N/A
47.79.230.57,47.79.230.57,neswalk.com,"Unizeto Technologies S.A.",N/A
47.79.230.120,47.79.230.120,mxpump.com,"Let's Encrypt",N/A
